ideAgenteCapacidadeInstalada,nomAgente,mdaPotenciaInstalada,mesReferencia,anoReferencia,dthProcessamento
233,COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO,10323428.00,9,2020,01/10/2020 00:00:00
234,FURNAS-CENTRAIS ELÉTRICAS S.A.,9443500.00,9,2020,01/10/2020 00:00:00
235,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A ELETRONORTE,8883150.00,9,2020,01/10/2020 00:00:00
236,Itaipu Binacional,7000000.00,9,2020,01/10/2020 00:00:00
237,PETRÓLEO BRASILEIRO S A PETROBRAS,6426728.15,9,2020,01/10/2020 00:00:00
238,ENGIE BRASIL ENERGIA S.A.,6189845.33,9,2020,01/10/2020 00:00:00
239,RIO PARANÁ ENERGIA S.A,4995200.00,9,2020,01/10/2020 00:00:00
240,COPEL GERAÇÃO E TRANSMISSÃO S.A.,3898529.55,9,2020,01/10/2020 00:00:00
241,ENERGIA SUSTENTÁVEL DO BRASIL S.A.,3750000.00,9,2020,01/10/2020 00:00:00
242,NORTE ENERGIA S/A,11233100.00,12,2020,01/01/2021 00:00:00
243,COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO,10347428.00,12,2020,01/01/2021 00:00:00
244,FURNAS-CENTRAIS ELÉTRICAS S.A.,9443500.00,12,2020,01/01/2021 00:00:00
245,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A ELETRONORTE,8973150.00,12,2020,01/01/2021 00:00:00
246,Itaipu Binacional,7000000.00,12,2020,01/01/2021 00:00:00
247,PETRÓLEO BRASILEIRO S A PETROBRAS,6426728.15,12,2020,01/01/2021 00:00:00
248,ENGIE BRASIL ENERGIA S.A.,6189845.33,12,2020,01/01/2021 00:00:00
249,RIO PARANÁ ENERGIA S.A,4995200.00,12,2020,01/01/2021 00:00:00
250,COPEL GERAÇÃO E TRANSMISSÃO S.A.,3898529.55,12,2020,01/01/2021 00:00:00
251,ENERGIA SUSTENTÁVEL DO BRASIL S.A.,3750000.00,12,2020,01/01/2021 00:00:00
252,NORTE ENERGIA S/A,11233100.00,3,2021,01/04/2021 00:00:00
253,COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO,10457428.00,3,2021,01/04/2021 00:00:00
254,FURNAS-CENTRAIS ELÉTRICAS S.A.,9471100.00,3,2021,01/04/2021 00:00:00
255,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A ELETRONORTE,8973150.00,3,2021,01/04/2021 00:00:00
256,Itaipu Binacional,7000000.00,3,2021,01/04/2021 00:00:00
257,PETRÓLEO BRASILEIRO S A PETROBRAS,6306728.15,3,2021,01/04/2021 00:00:00
258,ENGIE BRASIL ENERGIA S.A.,6194045.33,3,2021,01/04/2021 00:00:00
259,RIO PARANÁ ENERGIA S.A,4995200.00,3,2021,01/04/2021 00:00:00
260,COPEL GERAÇÃO E TRANSMISSÃO S.A.,3898529.55,3,2021,01/04/2021 00:00:00
261,ENERGIA SUSTENTÁVEL DO BRASIL S.A.,3750000.00,3,2021,01/04/2021 00:00:00
262,NORTE ENERGIA S/A,11233100.00,6,2021,01/07/2021 00:00:00
263,COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO,10457428.00,6,2021,01/07/2021 00:00:00
264,FURNAS-CENTRAIS ELÉTRICAS S.A.,9465800.00,6,2021,01/07/2021 00:00:00
265,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A ELETRONORTE,8973150.00,6,2021,01/07/2021 00:00:00
266,Itaipu Binacional,7000000.00,6,2021,01/07/2021 00:00:00
267,PETRÓLEO BRASILEIRO S A PETROBRAS,6306728.15,6,2021,01/07/2021 00:00:00
268,ENGIE BRASIL ENERGIA S.A.,6194045.33,6,2021,01/07/2021 00:00:00
269,RIO PARANÁ ENERGIA S.A,4995200.00,6,2021,01/07/2021 00:00:00
270,COPEL GERAÇÃO E TRANSMISSÃO S.A.,3898529.55,6,2021,01/07/2021 00:00:00
271,ENERGIA SUSTENTÁVEL DO BRASIL S.A.,3750000.00,6,2021,01/07/2021 00:00:00
272,NORTE ENERGIA S/A,11233100.00,9,2021,01/10/2021 00:00:00
273,COMPANHIA HIDRO ELÉTRICA DO SÃO FRANCISCO,10457428.00,9,2021,01/10/2021 00:00:00
274,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A ELETRONORTE,9979650.00,9,2021,01/10/2021 00:00:00
275,FURNAS-CENTRAIS ELÉTRICAS S.A.,9465800.00,9,2021,01/10/2021 00:00:00
276,Itaipu Binacional,7000000.00,9,2021,01/10/2021 00:00:00
277,PETRÓLEO BRASILEIRO S A PETROBRAS,6294228.15,9,2021,01/10/2021 00:00:00
278,ENGIE BRASIL ENERGIA S.A.,6194045.33,9,2021,01/10/2021 00:00:00
279,RIO PARANÁ ENERGIA S.A,4995200.00,9,2021,01/10/2021 00:00:00
280,COPEL GERAÇÃO E TRANSMISSÃO S.A.,3898529.55,9,2021,01/10/2021 00:00:00
281,ENERGIA SUSTENTÁVEL DO BRASIL S.A.,3750000.00,9,2021,01/10/2021 00:00:00
